구분,이름,경도,위도
인증센터,영산하구둑인증센터,126.4457409,34.8019679
인증센터,느러지전망관람대인증센터,126.5416218,34.9147873
인증센터,죽산보인증센터,126.6264067,34.9707961
인증센터,승촌보인증센터,126.7614059,35.0653128
인증센터,낙동강하구둑인증센터,128.9479504,35.1084124
인증센터,담양대나무숲인증센터,126.8918793,35.2472386
인증센터,메타세쿼이아길인증센터,127.0169042,35.3318928
인증센터,양산물문화관인증센터,128.9742795,35.3156944
인증센터,담양댐인증센터,127.0182184,35.3712676
인증센터,창녕함안보인증센터,128.5507862,35.3772116
인증센터,합천창녕보인증센터,128.3615973,35.5908546
인증센터,달성보인증센터,128.4191659,35.7370155
인증센터,강정고령보인증센터,128.4626587,35.8419883
인증센터,금강하구둑인증센터,126.7645631,36.0206317
인증센터,칠곡보인증센터,128.4008044,36.0153244
인증센터,익산성당포구인증센터,126.9219245,36.1309589
인증센터,구미보인증센터,128.3494861,36.237332
인증센터,상주상풍교인증센터,128.2657686,36.4987732
인증센터,상주상풍교인증센터,128.2657686,36.4987732
인증센터,안동댐인증센터,128.7584247,36.5775627
인증센터,문경불정역인증센터,128.1408885,36.6557033
인증센터,이화령휴게소인증센터,128.0316497,36.7516429
인증센터,수안보온천인증센터,127.9894125,36.8487463
인증센터,충주탄금대인증센터,127.9033871,36.9893008
인증센터,충주탄금대인증센터,127.9033871,36.9893008
인증센터,충주댐인증센터,127.9786075,37.0111474
인증센터,강천보인증센터,127.6810436,37.2771209
인증센터,여주보인증센터,127.6051899,37.3263624
인증센터,이포보인증센터,127.5419457,37.4074712
인증센터,양평군립미술관인증센터,127.4848049,37.4982631
인증센터,능내역인증센터,127.2950394,37.52247656
인증센터,뚝섬전망콤플렉스인증센터,127.0601551,37.5321156
인증센터,여의도서울마리나인증센터,126.9452965,37.5181389
인증센터,광나루자전거공원인증센터,127.1202657,37.5465223
인증센터,아라서해갑문인증센터,126.6036738,37.55712258
인증센터,아라한강갑문인증센터,126.8003758,37.5987932
인증센터,아라한강갑문인증센터,126.8003758,37.5987932
인증센터,통일전망대(민통선내),128.4180703,38.5148799
인증센터,북천철교,128.4742228,38.4013521
